German Prelim GDP q/q,'Actual' greater than 'Forecast' is good for currency;
MPC Member Vlieghe Speaks,-
Flash GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Flash Employment Change q/q,'Actual' greater than 'Forecast' is good for currency;
Business Inventories m/m,'Actual' less than 'Forecast' is good for currency;
RBA Assist Gov Kent Speaks,-
Mortgage Delinquencies,'Actual' less than 'Forecast' is good for currency;
PPI Input q/q,'Actual' greater than 'Forecast' is good for currency;
PPI Output q/q,'Actual' greater than 'Forecast' is good for currency;
Wage Price Index q/q,'Actual' greater than 'Forecast' is good for currency;
Spanish 10-y Bond Auction,No consistent effect
Core Durable Goods Orders m/m,'Actual' greater than 'Forecast' is good for currency;
Durable Goods Orders m/m,'Actual' greater than 'Forecast' is good for currency;
BOC Gov Poloz Speaks,-
German Final GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Fed Monetary Policy Report,More hawkish than expected is good for currency;
FOMC Member Brainard Speaks,-
Retail Sales q/q,'Actual' greater than 'Forecast' is good for currency;
Core Retail Sales q/q,'Actual' greater than 'Forecast' is good for currency;
Prelim Wholesale Inventories m/m,'Actual' less than 'Forecast' is good for currency;
Monetary Policy Report Hearings,More hawkish than expected is good for currency;
Building Permits,'Actual' greater than 'Forecast' is good for currency;
Corporate Profits q/q,'Actual' greater than 'Forecast' is good for currency;
Fed Chair Powell Testifies,-
Construction Work Done q/q,'Actual' greater than 'Forecast' is good for currency;
ANZ Business Confidence,'Actual' greater than 'Forecast' is good for currency;
Private Capital Expenditure q/q,'Actual' greater than 'Forecast' is good for currency;
GDP q/q,'Actual' greater than 'Forecast' is good for currency;
French Prelim GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Advance GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Advance GDP Price Index q/q,'Actual' greater than 'Forecast' is good for currency;
Overseas Trade Index q/q,'Actual' greater than 'Forecast' is good for currency;
Capital Spending q/y,'Actual' greater than 'Forecast' is good for currency;
Core PCE Price Index m/m,'Actual' greater than 'Forecast' is good for currency;
Personal Spending m/m,'Actual' greater than 'Forecast' is good for currency;
Personal Income m/m,'Actual' greater than 'Forecast' is good for currency;
Company Operating Profits q/q,'Actual' greater than 'Forecast' is good for currency;
Gov Board Member Zurbrugg Speaks,-
FPC Meeting Minutes,-
FPC Statement,-
MPC Member Cunliffe Speaks,-
Labor Productivity q/q,'Actual' less than 'Forecast' is good for currency;
MPC Member Saunders Speaks,-
MPC Member Tenreyro Speaks,-
Final Employment Change q/q,'Actual' greater than 'Forecast' is good for currency;
Revised GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Revised Nonfarm Productivity q/q,'Actual' less than 'Forecast' is good for currency;
Revised Unit Labor Costs q/q,'Actual' greater than 'Forecast' is good for currency;
Gov Council Member Patterson Speaks,-
Manufacturing Sales q/q,'Actual' greater than 'Forecast' is good for currency;
Final GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Final GDP Price Index y/y,'Actual' greater than 'Forecast' is good for currency;
Daylight Saving Time Shift,-
MPC Member Haskel Speaks,-
BSI Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
French Final Private Payrolls q/q,'Actual' greater than 'Forecast' is good for currency;
RBA Deputy Gov Debelle Speaks,-
Italian Quarterly Unemployment Rate,'Actual' less than 'Forecast' is good for currency;
Annual Budget Release,-
SECO Economic Forecasts,-
OPEC-JMMC Meetings,-
HPI q/q,'Actual' greater than 'Forecast' is good for currency;
RBA Deputy Gov Bullock Speaks,-
FOMC Economic Projections,-
RBA Bulletin,-
SNB Monetary Policy Assessment,-
Libor Rate,-
EU Economic Summit,-
BOE Quarterly Bulletin,-
RBA Assist Gov Ellis Speaks,-
SNB Quarterly Bulletin,-
Final GDP Price Index q/q,'Actual' greater than 'Forecast' is good for currency;
Gov Board Member Maechler Speaks,-
Revised Business Investment q/q,'Actual' greater than 'Forecast' is good for currency;
Tankan Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
Tankan Non-Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
Housing Equity Withdrawal q/q,'Actual' greater than 'Forecast' is good for currency;
Consumer Inflation Expectations,'Actual' greater than 'Forecast' is good for currency;
RBA Financial Stability Review,-
IMF Meetings,-
BOC Business Outlook Survey,-
German Bank Holiday,-
French Bank Holiday,-
Italian Bank Holiday,-
SNB Chairman Jordan Speaks,-
Spanish Parliamentary Election,-
MPC Member Ramsden Speaks,-
Prelim Nonfarm Productivity q/q,'Actual' less than 'Forecast' is good for currency;
Prelim Unit Labor Costs q/q,'Actual' greater than 'Forecast' is good for currency;
MPC Member Haldane Speaks,-
FOMC Financial Stability Report,-
BOC Financial System Review,-
Parliamentary Elections,-
European Parliamentary Elections,-
RBNZ Financial Stability Report,-
Treasury Currency Report,-
ECB Financial Stability Review,-
Prelim GDP Price Index q/q,'Actual' greater than 'Forecast' is good for currency;
SNB Financial Stability Report,-
SNB Policy Rate,'Actual' greater than 'Forecast' is good for currency;
SNB Press Conference,-
Gov Council Member Schembri Speaks,-
Bank Stress Test Results,-
RBNZ Statement of Intent,More hawkish than expected is good for currency;
OPEC Meetings,-
Greek Parliamentary Election,-
BOE Financial Stability Report,-
G7 Meetings,-
Prime Minister Johnson Speaks,-
Jackson Hole Symposium,-
ECB President Lagarde Speaks,-
RBA Annual Report,-
Federal Election,-
Gov Council Member Beaudry Speaks,-
Mid-Year Economic and Fiscal Outlook,-
FOMC Member Kaplan Speaks,-
FOMC Member Kashkari Speaks,-
FOMC Member Harker Speaks,-
Greek Presidential Elections,-
Treasury Sec Mnuchin Speaks,-
FOMC Member Mester Speaks,More hawkish than expected is good for currency;
Fed Announcement,-
BOE Gov Bailey Speaks,BOE Governor Andrew Bailey;
Prelim ANZ Business Confidence,'Actual' greater than 'Forecast' is good for currency;
German Constitutional Court Ruling,-
Gov Council Member Gravelle Speaks,-
BOC Gov Macklem Speaks,-
BOE Inflation Letter,-
Presidential Election,-
Congressional Elections,-
Autumn Forecast Statement,-
Euro Summit,-
FOMC Member Bostic Speaks,-
President Biden Speaks,-
FOMC Member Daly Speaks,-
FOMC Member Barkin Speaks,-
Dutch Parliamentary Election,-
FOMC Member Waller Speaks,-
Treasury Sec Yellen Speaks,-
MPC Member Mann Speaks,-
German Federal Elections,-
Lower House Elections,-
MPC Member Pill Speaks,More hawkish than expected is good for currency;
Gov Council Member Kozicki Speaks,-
French Presidential Election,-
German Buba President Nagel Speaks,-
Gov Council Member Rogers Speaks,-
Upper House Elections,-
