Time,Currency,Impact,Event,Actual,Forecast,Previous,Gmt time,Open,High,Low,Close,Volume,Low Impact,Medium Impact,High Impact
29.05.2020 09:00:00.00,EUR,Low Impact Expected,CPI Flash Estimate y/y,0.10%,0.10%,0.30%,1.11172,1.11172,1.11139,1.11151,375.59,'Actual' greater than 'Forecast' is good for currency;,3,0,0
29.05.2020 09:00:00.00,EUR,Low Impact Expected,Core CPI Flash Estimate y/y,0.90%,0.80%,0.90%,1.11172,1.11172,1.11139,1.11151,375.59,'Actual' greater than 'Forecast' is good for currency;,3,0,0
29.05.2020 09:00:00.00,EUR,Low Impact Expected,Italian Prelim CPI m/m,-0.10%,-0.10%,0.10%,1.11172,1.11172,1.11139,1.11151,375.59,'Actual' greater than 'Forecast' is good for currency;,3,0,0
29.05.2020 12:30:00.00,CAD,High Impact Expected,GDP m/m,-7.20%,-9.00%,0.00%,1.37314,1.37388,1.37288,1.37363,223.17,'Actual' greater than 'Forecast' is good for currency;,1,1,1
29.05.2020 12:30:00.00,CAD,Medium Impact Expected,RMPI m/m,-13.40%,-23.90%,-15.60%,1.37314,1.37388,1.37288,1.37363,223.17,'Actual' greater than 'Forecast' is good for currency;,1,1,1
29.05.2020 12:30:00.00,CAD,Low Impact Expected,IPPI m/m,-2.30%,-2.00%,-1.50%,1.37314,1.37388,1.37288,1.37363,223.17,'Actual' greater than 'Forecast' is good for currency;,1,1,1
29.05.2020 12:30:00.00,USD,Medium Impact Expected,Core PCE Price Index m/m,-0.40%,-0.30%,0.00%,1.11401,1.11405,1.11379,1.11386,434.24,'Actual' greater than 'Forecast' is good for currency;,3,2,0
29.05.2020 12:30:00.00,USD,Medium Impact Expected,Personal Spending m/m,-13.60%,-12.60%,-6.90%,1.11401,1.11405,1.11379,1.11386,434.24,'Actual' greater than 'Forecast' is good for currency;,3,2,0
29.05.2020 12:30:00.00,USD,Low Impact Expected,Goods Trade Balance,-69.7B,-64.8B,-65.0B,1.11401,1.11405,1.11379,1.11386,434.24,'Actual' greater than 'Forecast' is good for currency;,3,2,0
29.05.2020 12:30:00.00,USD,Low Impact Expected,Personal Income m/m,10.50%,-7.00%,-2.20%,1.11401,1.11405,1.11379,1.11386,434.24,'Actual' greater than 'Forecast' is good for currency;,3,2,0
29.05.2020 12:30:00.00,USD,Low Impact Expected,Prelim Wholesale Inventories m/m,0.40%,-0.50%,-0.80%,1.11401,1.11405,1.11379,1.11386,434.24,'Actual' less than 'Forecast' is good for currency;,3,2,0
29.05.2020 13:45:00.00,USD,Medium Impact Expected,Chicago PMI,32.3,40.1,35.4,1.11202,1.11204,1.11185,1.11195,277.02,'Actual' greater than 'Forecast' is good for currency;,0,1,0
29.05.2020 14:00:00.00,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,72.3,73.7,73.7,1.11194,1.11200,1.11122,1.11130,585.87,'Actual' greater than 'Forecast' is good for currency;,1,1,0
29.05.2020 14:00:00.00,USD,Low Impact Expected,Revised UoM Inflation Expectations,3.20%,,3.00%,1.11194,1.11200,1.11122,1.11130,585.87,'Actual' greater than 'Forecast' is good for currency;,1,1,0
31.05.2020 23:50:00.00,JPY,Low Impact Expected,Capital Spending q/y,4.30%,-5.10%,-3.50%,107.667,107.679,107.666,107.679,94.65,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 00:30:00.00,JPY,Low Impact Expected,Final Manufacturing PMI,38.4,38.4,38.4,107.836,107.839,107.819,107.837,164.91,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 01:00:00.00,AUD,Low Impact Expected,MI Inflation Gauge m/m,-1.20%,,-0.10%,0.66894,0.66898,0.66873,0.66892,115.42,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 06:30:00.00,AUD,Low Impact Expected,Commodity Prices y/y,-7.40%,,-7.30%,0.67527,0.67537,0.67509,0.67510,124.28,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 07:15:00.00,EUR,Low Impact Expected,Spanish Manufacturing PMI,38.3,38.5,30.8,1.11378,1.11387,1.11359,1.11362,363,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 07:45:00.00,EUR,Low Impact Expected,Italian Manufacturing PMI,45.4,35.5,31.1,1.11422,1.11468,1.11418,1.11450,286.06,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 07:50:00.00,EUR,Low Impact Expected,French Final Manufacturing PMI,40.6,40.3,40.3,1.11500,1.11510,1.11484,1.11485,296.97,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 07:55:00.00,EUR,Low Impact Expected,German Final Manufacturing PMI,36.6,36.8,36.8,1.11462,1.11472,1.11448,1.11459,371.49,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 08:00:00.00,EUR,Low Impact Expected,Final Manufacturing PMI,39.4,39.5,39.5,1.11487,1.11487,1.11446,1.11448,497.38,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 08:30:00.00,GBP,Low Impact Expected,Final Manufacturing PMI,40.7,40.7,40.6,1.24014,1.24017,1.23940,1.23960,383.34,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 13:30:00.00,CAD,Low Impact Expected,Manufacturing PMI,40.6,,33,1.37180,1.37220,1.37170,1.37205,357.37,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 13:45:00.00,USD,Low Impact Expected,Final Manufacturing PMI,39.8,39.8,39.8,1.11165,1.11183,1.11162,1.11176,258.91,'Actual' greater than 'Forecast' is good for currency;,1,0,0
01.06.2020 14:00:00.00,USD,High Impact Expected,ISM Manufacturing PMI,43.1,43.5,41.5,1.11255,1.11260,1.11240,1.11248,310.15,'Actual' greater than 'Forecast' is good for currency;,2,0,1
01.06.2020 14:00:00.00,USD,Low Impact Expected,Construction Spending m/m,-2.90%,-6.50%,0.00%,1.11255,1.11260,1.11240,1.11248,310.15,'Actual' greater than 'Forecast' is good for currency;,2,0,1
01.06.2020 14:00:00.00,USD,Low Impact Expected,ISM Manufacturing Prices,40.8,40,35.3,1.11255,1.11260,1.11240,1.11248,310.15,'Actual' greater than 'Forecast' is good for currency;,2,0,1
01.06.2020 22:45:00.00,NZD,Low Impact Expected,Building Consents m/m,-6.50%,,-21.70%,0.62908,0.62912,0.62908,0.62912,7.75,'Actual' greater than 'Forecast' is good for currency;,2,0,0
01.06.2020 22:45:00.00,NZD,Low Impact Expected,Overseas Trade Index q/q,-0.70%,1.50%,2.80%,0.62908,0.62912,0.62908,0.62912,7.75,'Actual' greater than 'Forecast' is good for currency;,2,0,0
01.06.2020 23:50:00.00,JPY,Low Impact Expected,Monetary Base y/y,3.90%,2.60%,2.30%,107.535,107.539,107.528,107.534,42.84,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 01:30:00.00,AUD,Medium Impact Expected,Current Account,8.4B,6.3B,1.7B,0.67893,0.67961,0.67892,0.67951,307.77,'Actual' greater than 'Forecast' is good for currency;,1,1,0
02.06.2020 01:30:00.00,AUD,Low Impact Expected,Company Operating Profits q/q,1.10%,0.00%,-3.50%,0.67893,0.67961,0.67892,0.67951,307.77,'Actual' greater than 'Forecast' is good for currency;,1,1,0
02.06.2020 04:30:00.00,AUD,High Impact Expected,Cash Rate,0.25%,0.25%,0.25%,0.67842,0.67864,0.67820,0.67860,204.13,'Actual' greater than 'Forecast' is good for currency;,0,0,2
02.06.2020 06:00:00.00,GBP,Low Impact Expected,Nationwide HPI m/m,-1.70%,-1.00%,0.90%,1.25011,1.25028,1.24992,1.25028,106.91,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 06:30:00.00,CHF,Low Impact Expected,Retail Sales y/y,-19.90%,-4.90%,-5.80%,0.96121,0.96134,0.96121,0.96129,32.87,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 06:45:00.00,EUR,Low Impact Expected,French Gov Budget Balance,-92.1B,,-52.5B,1.11335,1.11338,1.11306,1.11309,320.3,'Actual' less than 'Forecast' is good for currency;,1,0,0
02.06.2020 07:00:00.00,EUR,Low Impact Expected,Spanish Unemployment Change,26.6K,230.3K,282.9K,1.11184,1.11203,1.11175,1.11183,430.99,'Actual' less than 'Forecast' is good for currency;,1,0,0
